"Realized Gain/Loss for Joint_Tenant for 01/01/2025 to 12/31/2025 as of Mon Jan 19  21:19:29 EDT 2026","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Quantity","Closing Price","Cost Basis Method","Proceeds","Cost Basis (CB)","Total Gain/Loss ($)","Total Gain/Loss (%)","Long Term (LT) Gain/Loss ($)","Long Term (LT) Gain/Loss (%)","Short Term (ST) Gain/Loss ($)","Short Term (ST) Gain/Loss (%)","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"PHG","KONINKLIJKE PHILIPS ADR","06/06/2025","0.95","$23.55","FIFO","$22.28","$21.64","$0.64","2.957486136784%","--","--","$0.64","2.957486136783734%","No","","06/06/2025","","","","","","",""
"TPR","TAPESTRY INC","08/12/2025","10","$110.00","FIFO","$1,100.00","$300.00","$800.00","266.666666666667%","$800.00","266.66666666666663%","--","--","No","","08/12/2025","","","","","","",""
"COF","CAPITAL ONE FINL COR","08/13/2025","8","$217.00","FIFO","$1,736.00","$896.00","$840.00","93.75%","$840.00","93.75%","--","--","No","","08/13/2025","","","","","","",""
"CAH","CARDINAL HEALTH INC","11/04/2025","9","$195.00","FIFO","$1,755.00","$624.18","$1,130.82","181.168893588388%","$1,130.82","181.16889358838796%","--","--","No","","11/04/2025","","","","","","",""
"QQQ","INVESCO QQQ TR","11/14/2025","3","$600.00","FIFO","$1,800.00","$1,320.00","$480.00","36.363636363636%","--","--","$480.00","36.36363636363637%","No","","11/14/2025","","","","","","",""
"BA","BOEING CO","12/09/2025","0.71","$201.00","FIFO","$142.21","$72.38","$69.83","96.476927327991%","$69.83","96.47692732799116%","--","--","No","","12/09/2025","","","","","","",""
"FG","F&G ANNUITIES & LIFE","12/17/2025","0.44","$30.18","FIFO","$13.28","$13.60","-$0.32","-2.352941176471%","--","--","-$0.32","-2.3529411764705883%","No","","12/17/2025","","","","","","",""
"TPR","TAPESTRY INC","12/23/2025","24","$130.00","FIFO","$3,120.00","$720.00","$2,400.00","333.333333333333%","$2,400.00","333.33333333333337%","--","--","No","","12/23/2025","","","","","","",""
"Total","","","","","","$9,688.77","$3,967.80","$5,720.97","144.18493875699377%","$5,240.65","200.59443610864437%","$480.32","35.44169298426847%","","","","","","","","","",""
